"Repeat" "Naive.Kmeans" "Extrinsic.Kmeans" "A_e" "A_o"
"88" 88 0.0890112948715705 0.51435705773081 0.385935473023856 0.428760705972465
"89" 89 0.456459858439052 0.32744091378626 0.443896295777273 0.41261749972722
"90" 90 0.101094643832219 0.409933880029694 0.746930737413389 0.873164183709496
"91" 91 0.093395789878887 0.391572313317836 0.743239229875919 0.794271763772957
"92" 92 0.323569622812184 0.751002470611326 0.765831476640184 0.819680774976865
"93" 93 0.108216083739051 0.313140293911364 0.808233368610408 0.781845238573318
"94" 94 0.0863305993359339 0.757228677706504 0.781898184674638 0.827685718241236
"95" 95 0.119635387376405 0.333554310700278 0.75818255070587 0.841224466861758
"96" 96 0.119342014102306 0.768979431511538 0.764289661819313 0.849224165543004
"97" 97 0.111897700215912 0.43240753760687 0.743239229875919 0.852632413799092
"98" 98 0.109862396795024 0.362902238811648 0.758986576233443 0.795859641182297
"99" 99 0.106642069266963 0.779209589668405 0.754402400688393 0.867381185591569
"100" 100 -0.00799109863142012 0.431548616229981 0.732342047648623 0.904785497565752
